,ethnicity,gender,county,employment_status,primary_language,household_size,education,age
15049,caucasian,female,Union County,employed,english,3,high school,34
15050,Other,male,Gulf County,employed,spanish,NA,some university,49
15051,caucasion,female,Highlands County,employed,english,3,less than high school,29
15052,hispanic-white,female,Franklin County,employed,english,1,high school,57
15053,caucasion,female,Okeechobee County,employed,english,4,bachelor's degree,54
15054,hispanic-white,female,Okeechobee County,employed,english,1,bachelor's degree,49
15055,Asian,female,Baker County,employed,english,4,trade school or other certification,58
15056,Other,female,Franklin County,employed,english,1,bachelor's degree,34
15057,hispanic-white,female,Dixie County,employed,english,NA,less than high school,36
15058,hispanic-white,female,Dixie County,employed,english,4,high school,31
15059,white,female,Sarasota County,employed,other,1,associate's degree,59
15060,caucasion,male,Jefferson County,employed,english,1,associate's degree,54
15061,black,male,Gilchrist County,employed,english,3,high school,56
15062,black,female,Leon County,employed,english,1,high school,21
15063,caucasian,female,Jackson County,employed,english,NA,associate's degree,40
15064,Pacific Islander,female,Levy County,employed,english,NA,some university,34
15065,hispanic-white,female,Hamilton County,employed,english,1,associate's degree,59
15066,caucasian,female,Jackson County,employed,other,NA,bachelor's degree,33
15067,caucasion,female,Gulf County,employed,english,NA,associate's degree,57
15068,Native American,male,Madison County,employed,english,1,high school,52
15069,caucasion,female,Union County,employed,english,1,less than high school,34
15070,hispanic-black,female,Leon County,employed,english,1,associate's degree,42
15071,caucasian,female,Sumter County,employed,english,1,high school,26
15072,caucasion,male,Calhoun County,employed,english,NA,trade school or other certification,36
15073,white,male,Jefferson County,employed,english,NA,high school,57
15074,hispanic-white,female,Liberty County,employed,english,4,high school,36
15075,white,male,Washington County,employed,english,1,less than high school,34
15076,Native American and Alaskan Native,female,Gulf County,employed,english,1,less than high school,20
15077,African American,female,Lafayette County,employed,english,1,less than high school,25
15078,hispanic-white,male,DeSoto County,employed,english,1,less than high school,32
15079,caucasion,female,Madison County,employed,english,1,some university,34
15080,Asian,female,DeSoto County,employed,english,2,some university,24
15081,Asian,female,Calhoun County,employed,english,NA,associate's degree,43
15082,Other,female,Jefferson County,employed,spanish,1,high school,51
15083,caucasion,female,Hillsborough County,employed,english,1,high school,29
15084,hispanic-white,female,Gadsden County,employed,spanish,1,high school,54
15085,African American,female,Taylor County,employed,english,1,bachelor's degree,27
15086,Other,female,Hamilton County,employed,english,3,high school,51
15087,hispanic-white,female,Calhoun County,employed,english,NA,high school,21
15088,hispanic-white,female,Martin County,employed,english,1,graduate degree,48
15089,caucasion,female,Hamilton County,employed,english,1,high school,47
15090,hispanic-white,female,Union County,employed,english,1,trade school or other certification,50
15091,hispanic-white,female,Franklin County,employed,english,NA,high school,39
15092,caucasion,male,Franklin County,employed,english,1,bachelor's degree,25
15093,Native American,female,Franklin County,employed,english,3,less than high school,37
15094,hispanic-white,female,Bradford County,employed,english,1,associate's degree,38
15095,Native American,female,Gadsden County,employed,english,1,trade school or other certification,36
15096,white,female,DeSoto County,employed,english,NA,bachelor's degree,44
15097,caucasion,female,Hardee County,employed,spanish,1,high school,44
15098,caucasion,female,Taylor County,unemployed,english,NA,associate's degree,30
15099,Asian,male,Hamilton County,unemployed,english,3,less than high school,42
15100,white,male,Lafayette County,employed,english,2,less than high school,37
15101,Other,female,Gilchrist County,employed,spanish,1,trade school or other certification,40
15102,caucasion,male,Putnam County,employed,english,1,high school,58
15103,Native American and Alaskan Native,female,Putnam County,employed,english,1,high school,57
15104,white,female,Madison County,employed,spanish,1,less than high school,41
15105,hispanic-white,female,Bradford County,unemployed,spanish,NA,graduate degree,48
15106,caucasion,female,Liberty County,employed,english,1,bachelor's degree,50
15107,hispanic-black,female,Union County,employed,english,1,high school,22
15108,hispanic-white,male,Franklin County,employed,english,3,bachelor's degree,39
15109,Other,male,Lafayette County,unemployed,english,1,less than high school,51
15110,Native American and Alaskan Native,female,Charlotte County,employed,english,1,high school,48
15111,Asian,female,Suwannee County,employed,spanish,NA,less than high school,35
15112,hispanic-white,female,Jefferson County,employed,english,4,high school,20
15113,African American,male,Levy County,employed,english,1,graduate degree,21
15114,caucasian,female,Madison County,employed,spanish,1,some university,31
15115,hispanic-white,female,Okeechobee County,employed,english,4,high school,59
15116,Other,male,Liberty County,employed,english,2,less than high school,24
15117,white,female,Franklin County,employed,english,1,high school,54
15118,hispanic-white,male,Taylor County,employed,english,1,high school,40
15119,hispanic-white,female,Gulf County,employed,spanish,4,some university,58
15120,African American,female,Gadsden County,employed,english,1,some university,37
15121,caucasion,female,Union County,employed,english,2,high school,50
15122,hispanic-black,male,Madison County,employed,english,1,high school,31
15123,caucasion,female,Taylor County,employed,english,NA,high school,59
15124,asian,female,Hardee County,employed,english,1,high school,41
15125,Native American and Alaskan Native,female,Glades County,unemployed,english,1,high school,45
15126,hispanic-white,female,Clay County,employed,english,3,associate's degree,37
15127,Pacific Islander,male,Hendry County,employed,english,1,high school,54
15128,caucasion,female,Hamilton County,employed,english,NA,associate's degree,28
15129,hispanic-white,male,Glades County,employed,spanish,1,high school,29
15130,caucasian,female,Okaloosa County,employed,english,2,some university,48
15131,hispanic-white,male,Clay County,employed,english,NA,some university,58
15132,caucasion,female,Taylor County,employed,english,1,high school,46
15133,Asian,female,Taylor County,employed,english,1,high school,39
15134,hispanic-white,female,Gulf County,employed,spanish,1,high school,26
15135,caucasion,female,Franklin County,employed,english,1,high school,26
15136,Other,male,Lafayette County,employed,english,1,bachelor's degree,30
15137,caucasion,female,Lafayette County,employed,english,4,high school,21
15138,white,female,Taylor County,employed,english,1,bachelor's degree,54
15139,Other,male,Lafayette County,employed,english,1,high school,55
15140,hispanic-black,male,Gulf County,unemployed,english,3,less than high school,42
15141,caucasion,male,Gulf County,employed,english,1,some university,31
15142,Native American,female,Franklin County,employed,english,NA,some university,33
15143,caucasion,male,Gulf County,unemployed,english,1,high school,22
15144,Asian,female,Wakulla County,employed,english,1,bachelor's degree,44
15145,caucasian,female,Indian River County,employed,english,1,high school,20
15146,Native American and Alaskan Native,female,Madison County,employed,english,2,high school,52
15147,caucasian,female,Holmes County,employed,english,4,high school,25
15148,caucasian,female,Holmes County,employed,english,1,bachelor's degree,43
15149,caucasion,female,Bradford County,employed,spanish,1,high school,35
15150,hispanic-white,female,Gulf County,employed,spanish,NA,high school,31
15151,hispanic-white,female,Franklin County,employed,english,1,high school,58
15152,white,male,Escambia County,employed,english,1,high school,46
15153,Native American and Alaskan Native,female,Liberty County,employed,english,1,high school,47
15154,Other,male,Madison County,employed,english,NA,associate's degree,47
15155,Native American,female,Lafayette County,employed,english,2,high school,59
15156,Other,female,Liberty County,employed,english,1,graduate degree,36
15157,caucasion,female,Madison County,employed,english,1,high school,42
15158,caucasion,female,Gadsden County,employed,english,1,high school,57
15159,caucasion,female,Franklin County,employed,english,4,high school,42
15160,hispanic-black,female,Franklin County,employed,english,1,high school,37
15161,Native American and Alaskan Native,female,Dixie County,employed,english,1,bachelor's degree,60
15162,hispanic-black,male,Lafayette County,employed,english,1,high school,28
15163,African American,female,Liberty County,employed,english,1,high school,27
15164,Other,female,Jefferson County,employed,english,4,high school,51
15165,Pacific Islander,female,Walton County,employed,english,1,less than high school,33
15166,hispanic-black,male,Union County,employed,spanish,1,associate's degree,20
15167,hispanic-white,female,Taylor County,employed,english,1,high school,51
15168,caucasian,female,Liberty County,employed,english,1,trade school or other certification,25
15169,white,male,Holmes County,employed,english,1,less than high school,23
15170,Native American,male,Franklin County,employed,english,1,some university,45
15171,caucasion,male,Union County,employed,english,4,high school,28
15172,hispanic-white,female,Hamilton County,employed,english,1,high school,45
15173,white,female,Liberty County,employed,english,4,high school,33
15174,hispanic-white,female,Lafayette County,employed,english,1,bachelor's degree,31
15175,hispanic-white,female,Holmes County,employed,english,1,high school,34
15176,hispanic-white,female,Calhoun County,employed,english,1,less than high school,23
15177,Asian,female,Liberty County,employed,english,NA,graduate degree,50
15178,Other,male,Calhoun County,employed,spanish,4,some university,46
15179,hispanic-black,female,Calhoun County,employed,spanish,1,high school,48
15180,Native American and Alaskan Native,male,Glades County,employed,english,1,high school,27
15181,hispanic-black,female,Gadsden County,employed,english,NA,high school,29
15182,caucasian,female,Liberty County,employed,english,3,high school,55
15183,Asian,male,Calhoun County,employed,english,1,high school,46
15184,hispanic-white,male,Taylor County,employed,english,1,bachelor's degree,22
15185,Native American,female,Hamilton County,unemployed,english,NA,high school,55
15186,Native American,female,Jackson County,employed,english,NA,high school,22
15187,hispanic-white,female,Calhoun County,employed,spanish,NA,less than high school,41
15188,caucasian,male,Hendry County,employed,spanish,1,some university,30
15189,caucasian,female,Okeechobee County,unemployed,english,1,some university,43
15190,caucasian,male,Lafayette County,employed,spanish,1,high school,41
15191,African American,male,Okeechobee County,employed,english,1,trade school or other certification,38
15192,white,female,Bradford County,employed,english,4,some university,54
15193,caucasian,female,Gilchrist County,employed,english,NA,some university,39
15194,white,female,Jackson County,employed,english,3,less than high school,37
15195,Native American,female,Lafayette County,employed,english,1,some university,48
15196,African American,female,Gulf County,unemployed,english,NA,associate's degree,22
15197,Native American and Alaskan Native,male,Levy County,employed,spanish,1,high school,41
15198,hispanic-black,female,Flagler County,unemployed,english,NA,trade school or other certification,20
15199,Native American,female,Union County,employed,english,1,some university,31
15200,white,male,Wakulla County,employed,english,NA,high school,51
15201,white,female,Manatee County,unemployed,english,1,graduate degree,44
15202,hispanic-black,female,Franklin County,employed,other,4,some university,26
15203,hispanic-white,female,DeSoto County,employed,english,NA,trade school or other certification,55
15204,hispanic-white,female,Suwannee County,employed,english,1,bachelor's degree,26
15205,caucasian,male,Madison County,employed,english,1,high school,27
15206,African American,female,Lafayette County,employed,english,1,some university,46
15207,hispanic-white,male,Levy County,employed,english,2,trade school or other certification,47
15208,caucasian,female,Calhoun County,employed,spanish,1,trade school or other certification,52
15209,caucasian,female,Bradford County,employed,english,1,high school,34
15210,hispanic-white,female,Lafayette County,employed,english,1,high school,21
15211,black,female,Wakulla County,employed,spanish,3,trade school or other certification,28
15212,African American,female,Columbia County,unemployed,english,1,high school,30
15213,caucasion,female,Jefferson County,employed,spanish,2,less than high school,24
15214,caucasian,female,Okeechobee County,employed,english,2,high school,59
15215,hispanic-white,female,Taylor County,employed,spanish,2,less than high school,47
15216,hispanic-white,female,Putnam County,employed,english,1,high school,58
15217,Pacific Islander,female,Gulf County,employed,english,2,bachelor's degree,35
15218,caucasion,female,Calhoun County,employed,english,2,graduate degree,37
15219,caucasion,female,Liberty County,employed,english,4,high school,20
15220,African American,male,Holmes County,employed,english,1,less than high school,36
15221,hispanic-white,female,Madison County,unemployed,english,1,high school,45
15222,caucasian,female,Marion County,employed,english,2,high school,39
15223,Asian,female,St. Johns County,employed,english,2,high school,39
15224,hispanic-black,male,Glades County,employed,english,1,graduate degree,39
15225,hispanic-white,male,Hamilton County,employed,english,3,bachelor's degree,44
15226,hispanic-black,female,Jefferson County,employed,english,4,graduate degree,34
15227,Native American,female,Lafayette County,employed,english,NA,bachelor's degree,44
15228,hispanic-black,female,Liberty County,employed,english,3,some university,43
15229,caucasian,female,Calhoun County,employed,english,3,bachelor's degree,48
15230,caucasion,female,Okeechobee County,employed,english,1,bachelor's degree,59
15231,hispanic-white,female,Dixie County,employed,english,NA,high school,40
15232,African American,female,Calhoun County,employed,english,4,some university,34
15233,Native American and Alaskan Native,female,Volusia County,employed,english,1,trade school or other certification,32
15234,white,female,Liberty County,employed,english,3,high school,25
15235,white,female,Monroe County,employed,spanish,4,associate's degree,21
15236,hispanic-white,female,Wakulla County,employed,english,3,trade school or other certification,55
15237,caucasion,female,Washington County,employed,english,NA,high school,28
15238,Native American,female,Lafayette County,employed,english,1,high school,23
15239,Pacific Islander,male,Liberty County,employed,english,1,associate's degree,37
15240,caucasion,female,Franklin County,employed,english,NA,associate's degree,51
15241,Native American,female,Calhoun County,employed,english,1,high school,29
15242,caucasion,female,Hardee County,employed,english,1,high school,24
15243,hispanic-black,female,Hamilton County,employed,english,2,some university,32
15244,caucasian,male,Gulf County,employed,english,NA,bachelor's degree,52
15245,hispanic-black,male,Glades County,employed,english,1,some university,39
15246,white,female,Union County,employed,english,1,high school,21
15247,hispanic-white,female,Hardee County,employed,english,NA,bachelor's degree,44
15248,hispanic-white,female,Suwannee County,unemployed,english,1,some university,30
15249,caucasion,male,Okeechobee County,employed,english,1,trade school or other certification,21
15250,African American,female,Franklin County,employed,english,1,high school,29
15251,hispanic-white,female,Gilchrist County,employed,spanish,NA,high school,22
15252,Native American and Alaskan Native,male,Union County,employed,english,1,less than high school,50
15253,white,female,Liberty County,employed,english,1,high school,40
15254,Other,female,Madison County,unemployed,english,NA,high school,21
15255,white,female,Union County,employed,english,1,high school,54
15256,caucasion,male,Hamilton County,employed,english,3,less than high school,55
15257,Asian,female,Gulf County,employed,spanish,4,less than high school,55
15258,caucasian,male,Alachua County,employed,english,2,high school,49
15259,Native American,male,Wakulla County,employed,english,1,high school,22
15260,caucasion,female,Dixie County,employed,english,4,associate's degree,53
15261,hispanic-white,female,Gulf County,employed,english,1,high school,28
15262,caucasion,female,Washington County,employed,english,1,associate's degree,46
15263,hispanic-white,female,Holmes County,employed,english,3,high school,20
15264,Native American,male,Okeechobee County,employed,english,NA,some university,41
15265,Native American and Alaskan Native,female,Gulf County,employed,spanish,1,high school,60
15266,white,female,Washington County,employed,english,1,associate's degree,24
15267,caucasian,male,Gilchrist County,employed,english,1,less than high school,22
15268,hispanic-white,female,Union County,employed,english,NA,less than high school,37
15269,hispanic-white,female,Holmes County,employed,english,1,some university,28
15270,white,female,DeSoto County,employed,english,1,high school,55
15271,hispanic-black,male,Lafayette County,employed,spanish,1,associate's degree,29
15272,caucasion,female,Holmes County,employed,english,4,high school,21
15273,caucasion,female,Suwannee County,employed,other,1,some university,52
15274,hispanic-white,female,Monroe County,employed,english,1,associate's degree,21
15275,caucasian,male,Calhoun County,employed,english,NA,less than high school,59
15276,white,female,Franklin County,employed,english,1,bachelor's degree,53
15277,hispanic-white,female,Citrus County,employed,spanish,2,less than high school,22
15278,white,female,Madison County,unemployed,english,NA,high school,41
15279,black,female,DeSoto County,employed,english,1,high school,26
15280,hispanic-black,male,Washington County,employed,other,2,high school,54
15281,caucasion,female,Baker County,employed,english,1,high school,58
15282,hispanic-black,female,Calhoun County,employed,english,4,bachelor's degree,43
15283,Other,female,Baker County,employed,spanish,1,some university,28
15284,hispanic-black,female,Franklin County,employed,english,1,bachelor's degree,50
15285,Native American and Alaskan Native,female,Jefferson County,employed,english,NA,high school,24
15286,hispanic-white,female,Jefferson County,employed,english,1,high school,30
15287,white,male,Washington County,unemployed,english,2,high school,21
15288,caucasion,female,Jefferson County,unemployed,english,2,high school,34
15289,caucasian,female,Dixie County,employed,english,1,high school,40
15290,Native American and Alaskan Native,male,Gilchrist County,employed,english,1,less than high school,30
15291,white,female,Monroe County,employed,english,1,some university,56
15292,Native American,male,Liberty County,employed,english,NA,bachelor's degree,39
15293,caucasion,male,Taylor County,employed,english,1,high school,21
15294,caucasion,female,Gilchrist County,employed,english,1,some university,43
15295,hispanic-white,male,Union County,employed,english,1,high school,47
15296,hispanic-black,male,Citrus County,unemployed,english,1,graduate degree,27
15297,hispanic-white,female,Hamilton County,employed,english,1,high school,41
15298,caucasian,female,Okeechobee County,employed,english,NA,bachelor's degree,52
15299,caucasion,female,Jefferson County,employed,english,1,associate's degree,27
15300,caucasion,male,Monroe County,employed,english,3,high school,25
15301,hispanic-white,female,Franklin County,employed,english,1,some university,59
15302,hispanic-white,female,Liberty County,employed,english,1,associate's degree,46
15303,hispanic-black,female,Gulf County,employed,english,1,high school,57
15304,Other,female,Lafayette County,employed,english,NA,high school,43
15305,Native American,female,Gilchrist County,employed,english,NA,high school,35
15306,hispanic-black,female,Gulf County,employed,english,1,associate's degree,49
15307,caucasion,female,Lafayette County,employed,english,4,high school,52
15308,hispanic-black,male,Jefferson County,employed,english,1,associate's degree,30
15309,black,male,Suwannee County,employed,english,1,high school,45
15310,Native American and Alaskan Native,female,Suwannee County,employed,english,1,high school,60
15311,caucasian,female,Glades County,employed,english,1,high school,52
15312,caucasion,female,Madison County,employed,english,4,associate's degree,21
15313,African American,female,Taylor County,employed,english,1,some university,25
15314,hispanic-black,male,Holmes County,employed,spanish,NA,high school,36
15315,white,male,Jefferson County,employed,spanish,2,high school,23
15316,African American,female,Jefferson County,employed,english,3,some university,34
15317,hispanic-black,female,Monroe County,employed,english,NA,associate's degree,24
15318,hispanic-black,female,Washington County,employed,spanish,2,high school,32
15319,white,female,Glades County,employed,english,NA,bachelor's degree,55
15320,hispanic-white,female,Gulf County,employed,english,1,less than high school,51
15321,caucasian,male,Bradford County,employed,spanish,1,less than high school,46
15322,caucasian,female,Putnam County,employed,spanish,3,graduate degree,46
15323,hispanic-black,female,Lafayette County,employed,english,1,high school,25
15324,hispanic-white,male,Calhoun County,employed,english,1,high school,24
15325,Native American,female,Lafayette County,employed,english,1,bachelor's degree,46
15326,caucasian,female,Lafayette County,employed,english,NA,high school,43
15327,caucasian,female,Gulf County,employed,english,4,high school,44
15328,Native American,female,Hamilton County,employed,english,NA,some university,27
15329,Native American and Alaskan Native,female,Jefferson County,employed,english,1,high school,25
15330,hispanic-white,female,DeSoto County,employed,english,NA,some university,35
15331,hispanic-white,female,Taylor County,employed,english,2,high school,38
15332,caucasian,female,Sumter County,employed,english,1,bachelor's degree,60
15333,caucasian,female,Glades County,employed,english,2,some university,33
15334,caucasion,female,Gulf County,employed,spanish,2,high school,24
15335,Native American,male,Gilchrist County,employed,english,1,high school,53
15336,Native American and Alaskan Native,female,Highlands County,employed,english,1,some university,55
15337,caucasion,female,Jefferson County,employed,english,4,associate's degree,35
15338,caucasian,male,Glades County,employed,english,1,bachelor's degree,25
15339,black,female,Taylor County,employed,english,1,high school,33
15340,hispanic-white,female,Taylor County,employed,english,1,trade school or other certification,51
15341,caucasion,male,Franklin County,employed,english,2,bachelor's degree,59
15342,caucasion,female,Liberty County,employed,english,NA,less than high school,23
15343,Other,male,Hamilton County,employed,english,1,high school,39
15344,hispanic-white,female,Monroe County,employed,english,4,less than high school,24
15345,caucasian,female,Gulf County,employed,spanish,2,some university,24
15346,caucasian,male,Franklin County,employed,english,2,associate's degree,30
15347,caucasian,female,Holmes County,employed,english,4,high school,55
15348,Asian,male,Lafayette County,unemployed,english,1,trade school or other certification,34
15349,hispanic-white,male,Bradford County,employed,english,NA,high school,29
15350,hispanic-white,female,DeSoto County,employed,english,3,high school,29
15351,caucasian,female,Calhoun County,employed,english,3,graduate degree,29
15352,Native American,female,Madison County,employed,english,NA,high school,60
15353,Native American,male,Franklin County,employed,spanish,1,high school,52
15354,hispanic-white,male,Holmes County,unemployed,spanish,1,high school,23
15355,caucasion,female,Jackson County,employed,english,1,high school,25
15356,caucasian,female,Dixie County,employed,english,4,high school,48
15357,Native American and Alaskan Native,male,Franklin County,employed,english,4,associate's degree,58
15358,hispanic-white,female,Calhoun County,employed,spanish,1,trade school or other certification,32
15359,caucasian,female,Taylor County,employed,english,1,high school,35
15360,caucasian,female,Walton County,employed,english,1,associate's degree,22
15361,African American,female,Holmes County,employed,english,2,high school,39
15362,Native American and Alaskan Native,female,Gadsden County,unemployed,english,4,associate's degree,57
15363,white,male,Hardee County,unemployed,english,1,some university,21
15364,black,female,Hardee County,employed,english,2,associate's degree,39
15365,hispanic-white,female,Franklin County,employed,english,1,associate's degree,53
15366,hispanic-white,female,Bradford County,employed,english,3,trade school or other certification,35
15367,hispanic-white,female,Taylor County,employed,english,1,graduate degree,44
15368,white,female,Taylor County,employed,english,1,less than high school,22
15369,caucasian,female,Baker County,unemployed,english,NA,less than high school,53
15370,Native American and Alaskan Native,female,Glades County,employed,english,1,associate's degree,31
15371,caucasian,female,Washington County,unemployed,english,1,associate's degree,38
15372,hispanic-white,male,Dixie County,employed,english,2,less than high school,32
15373,caucasian,female,Franklin County,employed,english,1,less than high school,58
15374,Pacific Islander,female,Wakulla County,employed,english,NA,less than high school,22
15375,Native American,female,Hamilton County,unemployed,english,1,some university,56
15376,caucasion,female,Baker County,employed,english,1,graduate degree,21
15377,African American,female,Lafayette County,employed,english,1,high school,56
15378,African American,female,Liberty County,employed,english,NA,bachelor's degree,40
15379,black,male,Taylor County,employed,english,1,some university,47
15380,caucasian,male,Union County,employed,spanish,NA,high school,53
15381,white,female,Hardee County,employed,english,1,bachelor's degree,26
15382,caucasian,female,Madison County,unemployed,english,1,high school,47
15383,hispanic-white,female,Hamilton County,employed,english,4,less than high school,43
15384,hispanic-white,female,Highlands County,employed,spanish,NA,trade school or other certification,50
15385,Native American,female,Levy County,employed,english,NA,some university,26
15386,white,male,Hamilton County,employed,english,3,high school,51
15387,hispanic-white,female,Gulf County,employed,english,NA,less than high school,35
15388,caucasian,male,DeSoto County,employed,english,4,high school,40
15389,caucasion,female,Calhoun County,employed,spanish,NA,bachelor's degree,42
15390,caucasion,male,Gadsden County,unemployed,english,1,high school,45
15391,Native American,female,Liberty County,employed,english,2,high school,55
15392,white,female,Liberty County,employed,english,1,graduate degree,26
15393,Asian,male,Bradford County,unemployed,english,1,high school,46
15394,caucasion,female,Taylor County,unemployed,english,2,less than high school,56
15395,Other,female,Franklin County,employed,spanish,1,graduate degree,40
15396,hispanic-white,male,Franklin County,employed,english,4,high school,20
15397,Pacific Islander,female,Madison County,employed,english,1,high school,41
15398,caucasion,female,Union County,unemployed,english,1,high school,53
15399,Pacific Islander,male,Baker County,employed,english,1,associate's degree,23
15400,asian,female,Franklin County,employed,english,NA,trade school or other certification,32
15401,black,female,Hamilton County,employed,english,3,high school,32
15402,hispanic-white,female,Glades County,employed,english,3,bachelor's degree,28
15403,Pacific Islander,male,Madison County,employed,english,1,high school,50
15404,Native American and Alaskan Native,female,Jackson County,employed,english,1,bachelor's degree,55
15405,caucasion,male,Gadsden County,employed,english,1,some university,45
15406,caucasion,female,Taylor County,employed,english,1,high school,58
15407,caucasion,female,Dixie County,unemployed,english,1,high school,22
15408,white,female,Levy County,employed,english,2,high school,58
15409,caucasion,female,Franklin County,employed,english,1,bachelor's degree,37
15410,caucasion,female,Dixie County,employed,english,1,associate's degree,26
15411,caucasian,female,Jefferson County,employed,english,NA,high school,31
15412,hispanic-white,female,Gilchrist County,employed,english,NA,bachelor's degree,35
15413,hispanic-black,female,Gadsden County,employed,english,2,less than high school,27
15414,white,female,Escambia County,employed,english,4,high school,47
15415,white,female,Duval County,employed,spanish,1,trade school or other certification,32
15416,Pacific Islander,female,Lafayette County,employed,english,NA,high school,34
15417,hispanic-white,female,Liberty County,employed,english,2,high school,55
15418,caucasion,female,Taylor County,employed,english,1,high school,56
15419,Asian,female,Lafayette County,employed,english,NA,some university,54
15420,hispanic-white,female,Charlotte County,unemployed,english,NA,bachelor's degree,33
15421,Other,female,Liberty County,employed,english,1,high school,60
15422,white,female,Baker County,employed,spanish,2,less than high school,29
15423,caucasian,male,Taylor County,employed,spanish,1,associate's degree,38
15424,hispanic-white,male,Flagler County,employed,other,3,less than high school,45
15425,hispanic-black,female,Lafayette County,employed,spanish,1,high school,23
15426,Other,male,Lafayette County,employed,english,2,bachelor's degree,50
15427,hispanic-black,male,Holmes County,employed,english,1,high school,35
15428,Native American and Alaskan Native,female,Taylor County,employed,english,NA,high school,30
15429,hispanic-white,female,Calhoun County,unemployed,spanish,1,high school,58
15430,Pacific Islander,male,Madison County,employed,english,NA,some university,41
15431,Asian,female,DeSoto County,employed,english,4,high school,34
15432,hispanic-black,female,Union County,employed,spanish,1,high school,42
15433,hispanic-black,male,Nassau County,unemployed,spanish,1,high school,56
15434,caucasian,female,Santa Rosa County,employed,english,1,high school,52
15435,Native American and Alaskan Native,male,Gulf County,employed,english,1,high school,60
15436,white,female,Hamilton County,employed,spanish,NA,some university,59
15437,caucasion,male,Taylor County,employed,english,1,less than high school,59
15438,black,female,Glades County,employed,english,2,some university,60
15439,Native American and Alaskan Native,male,Baker County,employed,spanish,1,high school,60
15440,African American,female,Franklin County,employed,english,4,associate's degree,59
15441,Other,female,Liberty County,unemployed,english,1,high school,34
15442,caucasion,female,Glades County,employed,english,NA,high school,53
15443,black,female,Baker County,employed,english,1,some university,52
15444,African American,female,Liberty County,employed,english,3,trade school or other certification,58
15445,caucasion,female,Hamilton County,employed,spanish,1,high school,53
15446,hispanic-white,female,Liberty County,employed,english,3,high school,47
15447,hispanic-white,male,Gilchrist County,employed,english,NA,high school,49
15448,African American,male,Taylor County,employed,english,1,associate's degree,42
15449,hispanic-white,female,DeSoto County,employed,english,1,graduate degree,41
15450,Asian,female,Holmes County,employed,english,NA,high school,22
15451,hispanic-black,female,Washington County,employed,english,1,high school,30
15452,hispanic-white,female,Hardee County,employed,spanish,3,associate's degree,22
15453,Asian,female,Glades County,employed,spanish,4,high school,37
15454,hispanic-black,male,Gilchrist County,employed,english,2,high school,33
15455,hispanic-black,female,Brevard County,employed,english,NA,high school,31
15456,hispanic-white,female,Calhoun County,employed,other,1,high school,35
15457,hispanic-white,female,Holmes County,employed,english,1,bachelor's degree,40
15458,caucasion,female,Clay County,employed,english,3,high school,44
15459,African American,male,Baker County,employed,spanish,NA,high school,23
15460,white,female,Jefferson County,employed,english,1,some university,28
15461,African American,female,Madison County,employed,english,2,associate's degree,60
15462,hispanic-black,male,Liberty County,employed,english,1,some university,49
15463,hispanic-white,female,Union County,employed,english,1,less than high school,23
15464,Asian,female,Washington County,employed,english,4,less than high school,28
15465,Asian,female,Gilchrist County,employed,english,NA,high school,20
15466,asian,female,Hendry County,employed,english,NA,high school,33
15467,hispanic-white,female,Taylor County,employed,english,NA,high school,43
15468,African American,female,Hernando County,employed,english,3,less than high school,23
15469,Other,female,Suwannee County,employed,english,2,high school,28
15470,black,female,Wakulla County,employed,english,1,high school,50
15471,Asian,female,Wakulla County,employed,english,1,high school,23
15472,asian,female,Bay County,employed,spanish,1,less than high school,30
15473,caucasion,female,Levy County,employed,english,1,some university,59
15474,white,female,Seminole County,employed,other,2,high school,52
15475,caucasion,female,Hamilton County,employed,english,1,less than high school,41
15476,white,female,Franklin County,unemployed,english,1,associate's degree,32
15477,hispanic-white,female,Gilchrist County,employed,english,2,graduate degree,49
15478,white,male,Levy County,employed,english,1,some university,46
15479,caucasion,male,Liberty County,employed,english,4,high school,55
15480,Native American,male,Columbia County,employed,english,NA,associate's degree,46
15481,black,female,Washington County,employed,english,4,bachelor's degree,51
15482,hispanic-black,female,Union County,employed,english,3,high school,43
15483,caucasian,female,Union County,employed,english,1,high school,42
15484,hispanic-black,male,Taylor County,unemployed,english,1,associate's degree,26
15485,Native American,female,Okeechobee County,employed,english,3,high school,25
15486,white,male,Baker County,unemployed,english,4,high school,42
15487,caucasian,male,Washington County,employed,english,1,associate's degree,36
15488,caucasion,male,Liberty County,employed,english,1,high school,34
15489,hispanic-white,female,Lafayette County,employed,english,1,high school,34
15490,hispanic-white,female,Hamilton County,employed,english,NA,high school,20
15491,hispanic-white,female,Calhoun County,employed,english,1,high school,35
15492,Native American,female,Union County,employed,english,1,some university,21
15493,hispanic-black,male,Union County,employed,english,4,associate's degree,24
15494,hispanic-black,female,Nassau County,unemployed,other,1,high school,22
15495,caucasian,female,Lafayette County,employed,english,3,less than high school,25
15496,Asian,male,Union County,employed,spanish,1,high school,27
15497,Pacific Islander,female,Okeechobee County,employed,spanish,1,high school,60
15498,hispanic-black,female,Holmes County,employed,spanish,3,graduate degree,44
15499,hispanic-white,male,Hamilton County,employed,english,1,less than high school,44
15500,hispanic-white,male,Union County,employed,spanish,4,high school,31
15501,hispanic-white,female,Franklin County,employed,english,NA,some university,20
15502,hispanic-white,male,Liberty County,employed,english,3,high school,38
15503,hispanic-white,male,Dixie County,employed,english,1,high school,35
15504,Other,male,Jefferson County,unemployed,english,2,high school,41
